distortion,config,k,t,metric,tol_freq,tol_time,hits,total,accuracy,avg_query_time_s
Original,small,5,5,tp,1,1,20,20,1.0,4.5658596634864805
Noise,small,5,5,tp,1,1,20,20,1.0,4.610843026638031
Coding,small,5,5,tp,1,1,20,20,1.0,4.700848352909088
Mobile,small,5,5,tp,1,1,13,20,0.65,4.818824303150177
Original,k5_t15,5,15,tp,1,1,20,20,1.0,4.757920968532562
Noise,k5_t15,5,15,tp,1,1,20,20,1.0,4.7308489918708805
Coding,k5_t15,5,15,tp,1,1,20,20,1.0,4.590165674686432
Mobile,k5_t15,5,15,tp,1,1,12,20,0.6,4.653454673290253
Original,k5_t40,5,40,tp,1,1,20,20,1.0,5.022126185894012
Noise,k5_t40,5,40,tp,1,1,20,20,1.0,4.812839412689209
Coding,k5_t40,5,40,tp,1,1,20,20,1.0,4.6737643599510195
Mobile,k5_t40,5,40,tp,1,1,10,20,0.5,4.921189069747925
Original,k15_t5,15,5,tp,1,1,20,20,1.0,4.824078679084778
Noise,k15_t5,15,5,tp,1,1,20,20,1.0,4.649745094776153
Coding,k15_t5,15,5,tp,1,1,20,20,1.0,4.783712315559387
Mobile,k15_t5,15,5,tp,1,1,13,20,0.65,4.77862777709961
Original,medium,15,15,tp,1,1,20,20,1.0,4.901403248310089
Noise,medium,15,15,tp,1,1,20,20,1.0,4.982874238491059
Coding,medium,15,15,tp,1,1,20,20,1.0,4.71736581325531
Mobile,medium,15,15,tp,1,1,10,20,0.5,4.753999876976013
Original,k15_t40,15,40,tp,1,1,19,20,0.95,4.628501319885254
Noise,k15_t40,15,40,tp,1,1,19,20,0.95,4.70065221786499
Coding,k15_t40,15,40,tp,1,1,18,20,0.9,4.532519149780273
Mobile,k15_t40,15,40,tp,1,1,6,20,0.3,4.532941079139709
Original,k40_t5,40,5,tp,1,1,20,20,1.0,4.476975917816162
Noise,k40_t5,40,5,tp,1,1,20,20,1.0,4.880422818660736
Coding,k40_t5,40,5,tp,1,1,20,20,1.0,4.475826442241669
Mobile,k40_t5,40,5,tp,1,1,6,20,0.3,4.447611057758332
Original,k40_t15,40,15,tp,1,1,18,20,0.9,4.394735789299011
Noise,k40_t15,40,15,tp,1,1,18,20,0.9,4.421511018276215
Coding,k40_t15,40,15,tp,1,1,18,20,0.9,4.397604215145111
Mobile,k40_t15,40,15,tp,1,1,1,20,0.05,4.486053693294525
Original,large,40,40,tp,1,1,14,20,0.7,5.198734974861145
Noise,large,40,40,tp,1,1,13,20,0.65,5.180547499656678
Coding,large,40,40,tp,1,1,14,20,0.7,5.1890954852104185
Mobile,large,40,40,tp,1,1,2,20,0.1,5.21856437921524
Original,best_v1,12,15,tp,1,1,20,20,1.0,4.8520432472229
Noise,best_v1,12,15,tp,1,1,20,20,1.0,4.932727634906769
Coding,best_v1,12,15,tp,1,1,20,20,1.0,5.141230201721191
Mobile,best_v1,12,15,tp,1,1,10,20,0.5,5.033729994297028
Original,best_v2,18,15,tp,1,1,20,20,1.0,4.467136323451996
Noise,best_v2,18,15,tp,1,1,20,20,1.0,4.4328835844993595
Coding,best_v2,18,15,tp,1,1,20,20,1.0,4.618547058105468
Mobile,best_v2,18,15,tp,1,1,8,20,0.4,4.548650479316711
Original,best_v3,15,20,tp,1,1,20,20,1.0,4.638008010387421
Noise,best_v3,15,20,tp,1,1,20,20,1.0,4.721007788181305
Coding,best_v3,15,20,tp,1,1,20,20,1.0,4.697249448299408
Mobile,best_v3,15,20,tp,1,1,10,20,0.5,5.224764502048492
