distortion,config,k,t,metric,tol_freq,tol_time,hits,total,accuracy,avg_query_time_s
Coding,small,5,5,tp,1,1,20,20,1.0,6.153556084632873
Coding,medium,15,15,tp,1,1,20,20,1.0,5.990423488616943
Coding,large,40,40,tp,1,1,12,20,0.6,122.68982597589493
Coding,k5_t15,5,15,tp,1,1,20,20,1.0,6.3505188703536986
Coding,k5_t40,5,40,tp,1,1,20,20,1.0,6.281763565540314
Coding,k15_t5,15,5,tp,1,1,20,20,1.0,6.265865683555603
Coding,k15_t40,15,40,tp,1,1,18,20,0.9,6.294226443767547
Coding,k40_t5,40,5,tp,1,1,20,20,1.0,6.293935084342957
Coding,k40_t15,40,15,tp,1,1,19,20,0.95,6.3396793603897095
Coding,best_v1,12,15,tp,1,1,20,20,1.0,10.311138117313385
Coding,best_v2,18,15,tp,1,1,20,20,1.0,10.299837076663971
Coding,best_v3,15,20,tp,1,1,20,20,1.0,10.398272037506104
