distortion,config,k,t,metric,tol_freq,tol_time,hits,total,accuracy,avg_query_time_s
Mobile,small,5,5,tp,1,1,13,20,0.65,6.129601514339447
Mobile,medium,15,15,tp,1,1,9,20,0.45,5.931129109859467
Mobile,large,40,40,tp,1,1,1,20,0.05,6.42096654176712
Mobile,k5_t15,5,15,tp,1,1,12,20,0.6,6.268123066425323
Mobile,k5_t40,5,40,tp,1,1,10,20,0.5,6.284568965435028
Mobile,k15_t5,15,5,tp,1,1,13,20,0.65,6.276733922958374
Mobile,k15_t40,15,40,tp,1,1,6,20,0.3,6.306780397891998
Mobile,k40_t5,40,5,tp,1,1,8,20,0.4,6.3265341997146605
Mobile,k40_t15,40,15,tp,1,1,1,20,0.05,6.3525136590003966
Mobile,best_v1,12,15,tp,1,1,10,20,0.5,10.182745921611787
Mobile,best_v2,18,15,tp,1,1,8,20,0.4,10.34098299741745
Mobile,best_v3,15,20,tp,1,1,10,20,0.5,10.395987832546234
