distortion,config,k,t,metric,tol_freq,tol_time,hits,total,accuracy,avg_query_time_s
Noise,small,5,5,tp,1,1,20,20,1.0,6.471307170391083
Noise,k5_t15,5,15,tp,1,1,20,20,1.0,5.843369591236114
Noise,k5_t40,5,40,tp,1,1,20,20,1.0,6.339153146743774
Noise,k15_t5,15,5,tp,1,1,20,20,1.0,6.154774713516235
Noise,medium,15,15,tp,1,1,20,20,1.0,5.378035438060761
Noise,k15_t40,15,40,tp,1,1,19,20,0.95,5.4714216709136965
Noise,k40_t5,40,5,tp,1,1,20,20,1.0,4.488160955905914
Noise,k40_t15,40,15,tp,1,1,18,20,0.9,5.4689774990081785
Noise,large,40,40,tp,1,1,13,20,0.65,4.847776746749878
Noise,best_v1,12,15,tp,1,1,20,20,1.0,5.195982336997986
Noise,best_v2,18,15,tp,1,1,20,20,1.0,6.803193914890289
Noise,best_v3,15,20,tp,1,1,20,20,1.0,6.097778117656707
