distortion,config,k,t,metric,tol_freq,tol_time,hits,total,accuracy,avg_query_time_s
Original,small,5,5,tp,1,1,20,20,1.0,6.483446800708771
Original,medium,15,15,tp,1,1,20,20,1.0,6.362777245044708
Original,large,40,40,tp,1,1,13,20,0.65,44.903078532218935
Original,k5_t15,5,15,tp,1,1,20,20,1.0,6.336631953716278
Original,k5_t40,5,40,tp,1,1,20,20,1.0,6.267064845561981
Original,k15_t5,15,5,tp,1,1,20,20,1.0,6.26380033493042
Original,k15_t40,15,40,tp,1,1,20,20,1.0,6.324336433410645
Original,k40_t5,40,5,tp,1,1,20,20,1.0,6.224225008487702
Original,k40_t15,40,15,tp,1,1,19,20,0.95,6.347879660129547
Original,best_v1,12,15,tp,1,1,20,20,1.0,6.225997221469879
Original,best_v2,18,15,tp,1,1,20,20,1.0,10.359075009822845
Original,best_v3,15,20,tp,1,1,20,20,1.0,10.506881988048553
